,localisation,prix_annonce,date_pub,m2,pieces,chambres,lien,text_annonce,floatm2,eta,Loyer estimé,Prix/m2
1,1,990000,2018-01-27,61,3.0,2.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/15024049/,Vues directes sur la Place Dauphine et le Palais de Justice - Au sein d'un immeuble classé construit au XVIIème siècle et dont les...,61.0,4.0,1927.0,16229.508196721312
2,1,225000,2018-01-25,"15,43",1.0,0.0,http://www.explorimmo.com/annonce-15012261.html,"Métro: Châtelet/Les Halles, Rue du Plat d'Etain 75001 Paris Dans un immeuble ancien du 16ème siècle, au 1er étage sur rue sans ascenseur,...",15.43,1.0,1100.0,14581.983149708361
3,1,2590000,2018-01-25,189,5.0,3.0,http://www.explorimmo.com/annonce-15009373.html,"NOTAIRE VEND : A deux pas du jardin des Tuileries, dans un immeuble du début du 19ème siècle de belle facture, un appartement de 189m²...",189.0,1.0,5403.0,13703.703703703704
4,1,450000,2018-01-25,"35,02",1.0,0.0,http://www.explorimmo.com/annonce-15006531.html,"PARIS 1er - Quai du Louvre / Pont Neuf - GRAND STUDIO AVEC COIN NUIT. En plein coeur de Paris, au 4ème étage d'un immeuble ancien,...",35.02,4.0,1150.0,12849.800114220445
5,1,269000,2018-01-24,19,1.0,0.0,http://www.explorimmo.com/annonce-14993417.html,"** PONT NEUF / CHÂTELET ** Rue Bertin Poirée. Au 3ème étage (sans ascenseur) d'un immeuble ancien, nous vous proposons ce studio de...",19.0,3.0,1100.0,14157.894736842105
6,1,699000,2018-01-24,48,2.0,1.0,http://www.explorimmo.com/annonce-14993415.html,"A deux pas de la Place du Marché Saint Honoré, Paris Seine vous propose un appartement 2 pièces de caractère. Ce bien se situe au premier...",48.0,1.0,1731.0,14562.5
7,1,530000,2018-01-23,39,2.0,1.0,http://www.explorimmo.com/annonce-14987957.html,"EXCLUSIVITE A PALAIS ROYAL - 2 PCES LUMINEUX CALME. À proximité immédiate du Palais-Royal et du Musée du Louvre, au sein d'un...",39.0,4.0,1650.0,13589.74358974359
8,1,530000,2018-01-23,39,2.0,1.0,http://www.explorimmo.com/annonce-14987955.html,"EXCLUSIVITE A PALAIS ROYAL - 2 PCES LUMINEUX CALME. À proximité immédiate du Palais-Royal et du Musée du Louvre, au sein d'un...",39.0,4.0,1650.0,13589.74358974359
9,1,810000,2018-01-23,57,3.0,1.0,http://www.explorimmo.com/annonce-14979999.html,"Proche de la place de la Concorde, rue Saint-Honoré, un pied-à-terre meublé de 58 m2, aussi élégant que le quartier. L'immeuble de...",57.0,3.0,2500.0,14210.526315789473
10,1,1260000,2018-01-23,80,4.0,1.0,http://www.explorimmo.com/annonce-14979381.html,"Au coeur du quartier Montorgueil, un élégant duplex de 80 m2 et sa terrasse avec vue sur l'église St-Eustache. L'immeuble du 17ème...",80.0,3.0,2515.0,15750.0
11,1,1360000,2018-01-23,77,4.0,2.0,http://www.explorimmo.com/annonce-14976621.html,"Paris Seine vous propose dans un bel immeuble du XIXème siècle, au 3ème étage avec ascenseur, un appartement 4 pièces traversant très...",77.0,3.0,2515.0,17662.33766233766
